,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto,Producto
,71287423 - PAN DE MUERTO GRANDE 1 PZA,71287423 - PAN DE MUERTO GRANDE 1 PZA,2660011000000 - PAN DE MUERTO MEDIANO 1 PZA,2660011000000 - PAN DE MUERTO MEDIANO 1 PZA,2661190000003 - PAN DE MUERTO CHICO 1 PZA,2661190000003 - PAN DE MUERTO CHICO 1 PZA,2661191000002 - PAN DE MUERTO DOMO 6 PZA,2661191000002 - PAN DE MUERTO DOMO 6 PZA,2661192000001 - PAN DE MUERTO MEDIANO 1 PZA,2661192000001 - PAN DE MUERTO MEDIANO 1 PZA,2661194000009 - PAN DE MUERTO AJONJOLI DOMO 6 PZA,2661194000009 - PAN DE MUERTO AJONJOLI DOMO 6 PZA,2661195000008 - PAN DE MUERTO CON NATA CHICO 1 PZA,2661195000008 - PAN DE MUERTO CON NATA CHICO 1 PZA,2661212000004 - PAN DE MUERTO GRANDE 1 PZA,2661212000004 - PAN DE MUERTO GRANDE 1 PZA,2661213000003 - PAN DE MUERTO RELLENO DE NATA GRANDE 1 PZA,2661213000003 - PAN DE MUERTO RELLENO DE NATA GRANDE 1 PZA,2661566000002 - PAN DE MUERTO CON AJONJOLI CHICO 1 PZA,2661566000002 - PAN DE MUERTO CON AJONJOLI CHICO 1 PZA,2661567000001 - PAN DE MUERTO AJONJOLI MEDIANO 1 PZA,2661567000001 - PAN DE MUERTO AJONJOLI MEDIANO 1 PZA,2661568000000 - PAN DE MUERTO AJONJOLI GRANDE 1 PZA,2661568000000 - PAN DE MUERTO AJONJOLI GRANDE 1 PZA,2661624000005 - HUESITOS DE PAN DE MUERTO BOLSA 6 PZA,2661624000005 - HUESITOS DE PAN DE MUERTO BOLSA 6 PZA,2661727000001 - CORONA DE MUERTOS 1 PZA,2661727000001 - CORONA DE MUERTOS 1 PZA,2661728000000 - PAN DE MUERTO RELLENO DE NATA MEDIANO 1 PZA,2661728000000 - PAN DE MUERTO RELLENO DE NATA MEDIANO 1 PZA,2661795000002 - PAN DE MUERTO DE CHOCOLATE CHICO 1 PZA,2661795000002 - PAN DE MUERTO DE CHOCOLATE CHICO 1 PZA,2662115000009 - PAN DE MUERTO CHOCOLATE DOMO CON 6 PZA,2662115000009 - PAN DE MUERTO CHOCOLATE DOMO CON 6 PZA,2662118000006 - PAN DE MUERTO SEMI AMARGO 1 PZA,2662118000006 - PAN DE MUERTO SEMI AMARGO 1 PZA,2662349000004 - PAN DE MUERTO MINI CAJA C 8 0.10 GRS,2662349000004 - PAN DE MUERTO MINI CAJA C 8 0.10 GRS,2662501000002 - PAN DE MUERTO RELLENO LOTUS 1 PZA,2662501000002 - PAN DE MUERTO RELLENO LOTUS 1 PZA,2662502000001 - PAN DE MUERTO RELLENO DE NUTELLA 1 PZA,2662502000001 - PAN DE MUERTO RELLENO DE NUTELLA 1 PZA,2662795000009 - CROISSANT DE MUERTO 1 PZA,2662795000009 - CROISSANT DE MUERTO 1 PZA
Tienda,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta,Importe venta,Unidades venta
Total general,$896.29,4,$50.93,1,"$1,520,610.06","33,248.00","$740,009.46","3,111.00","$10,636.51",92,"$93,590.61",391,"$43,406.50",677,"$9,859.23",44,$0.00,0,"$370,145.89","8,482.00","$2,199.06",19,"$1,792.57",8,"$111,229.72","1,848.00","$9,356.47",47,$597.22,3,"$332,806.05","7,338.00","$105,208.01",431,"$29,064.92",344,"$31,758.25",382,"$32,061.31",397,"$42,654.33",527,"$412,046.72","7,337.00"
380 - CITY MARKET SAN JERONIMO,$0.00,0,,,"$151,691.68","3,452.00","$137,114.20",577,"$1,041.66",9,"$25,462.02",107,$383.34,6,"$1,568.52",7,$0.00,0,"$50,354.18","1,162.00",$347.22,3,$224.07,1,"$6,921.37",115,$796.30,4,$0.00,0,"$44,346.53",985,"$22,977.69",94,$241.68,3,$166.66,2,"$1,852.80",23,"$6,766.67",84,"$25,428.31",450
403 - CITY MARKET PLAZA CARSO,$0.00,0,,,"$154,591.65","3,694.00","$69,175.81",292,$810.18,7,"$16,538.39",70,"$4,702.26",73,$672.22,3,$0.00,0,"$41,900.00","1,004.00",$347.22,3,$0.00,0,"$23,773.23",396,"$1,393.52",7,$0.00,0,"$47,772.71","1,084.00","$19,262.12",79,"$3,608.97",45,"$8,641.68",104,"$6,605.56",82,"$2,094.46",26,"$65,681.92","1,223.00"
379 - CITY MARKET SANTA FE,$896.29,4,$50.93,1,"$175,054.19","3,865.00","$117,482.31",495,"$5,659.69",49,"$4,283.32",18,"$4,791.71",75,"$5,377.75",24,$0.00,0,"$25,604.13",585,"$1,041.66",9,$672.21,3,"$14,613.06",243,"$1,194.44",6,$597.22,3,"$19,906.00",438,"$5,353.27",22,$725.01,9,"$5,225.00",63,"$4,269.45",53,"$6,122.22",76,"$36,385.01",658
363 - CITY MARKET PILARES,$0.00,0,,,"$162,362.49","3,697.00","$75,529.41",318,$810.18,7,"$12,136.08",51,"$12,356.15",194,$672.22,3,$0.00,0,"$53,012.46","1,210.00",$0.00,0,$224.07,1,"$14,438.51",240,$398.15,2,$0.00,0,"$42,701.60",942,"$13,175.44",54,"$1,933.40",24,$83.33,1,"$4,430.55",55,"$7,249.99",90,"$17,817.73",319
417 - CITY MARKET METEPEC,$0.00,0,,,"$134,848.61","3,108.00","$58,705.46",247,$694.44,6,"$8,542.88",36,"$3,373.36",52,$0.00,0,$0.00,0,"$40,137.54",935,$0.00,0,$0.00,0,"$5,176.03",86,$796.30,4,$0.00,0,"$43,871.50",978,"$9,753.25",40,"$2,408.63",30,$750.00,9,"$1,450.00",18,"$2,175.00",27,"$84,444.45","1,534.00"
418 - CITY MARKET RIO MAYO,$0.00,0,,,"$101,133.31","2,397.00","$46,569.33",196,$347.22,3,"$6,401.16",27,"$3,443.67",53,$0.00,0,$0.00,0,"$32,870.79",786,$115.74,1,$0.00,0,"$5,236.24",85,$796.29,4,$0.00,0,"$22,733.99",515,"$9,533.25",39,$644.47,8,"$1,416.67",17,"$2,658.33",33,"$4,108.33",51,"$17,448.37",325
449 - CITY MARKET LILAS,$0.00,0,,,"$91,362.50","1,896.00","$66,129.90",278,$115.74,1,$951.84,4,"$3,386.16",53,$0.00,0,$0.00,0,"$9,066.63",210,$115.74,1,$0.00,0,"$3,779.73",63,"$1,194.44",6,$0.00,0,"$12,187.26",267,"$3,177.73",13,$153.06,2,$325.00,4,"$1,450.03",17,"$3,463.91",40,"$28,199.17",479
377 - CITY MARKET LOMAS,$0.00,0,,,"$64,750.00","1,258.00","$71,436.49",299,$347.22,3,"$4,997.19",21,$255.56,4,"$1,344.45",6,$0.00,0,"$9,191.70",188,$115.74,1,$0.00,0,"$4,032.52",67,"$1,592.60",8,$0.00,0,"$6,482.83",133,"$6,111.04",25,$80.56,1,,,$483.35,6,"$1,369.46",17,"$18,393.05",279
454 - CITY MARKET LOPEZ MATEOS,$0.00,0,,,"$65,441.63","1,446.00","$16,895.34",71,$0.00,0,$951.84,4,"$7,807.31",121,$0.00,0,$0.00,0,"$12,066.64",274,$0.00,0,$0.00,0,"$8,365.89",139,$0.00,0,$0.00,0,"$19,642.13",423,"$2,444.40",10,"$4,857.59",61,$499.99,6,"$2,497.25",31,"$2,811.41",35,"$23,090.23",406
305 - CITY MARKET INTERLOMAS,$0.00,0,,,"$79,025.42","1,452.00","$32,553.34",135,$0.00,0,"$1,189.81",5,$0.00,0,$0.00,0,$0.00,0,"$10,750.01",231,$0.00,0,$0.00,0,"$3,418.56",57,$597.22,3,$0.00,0,"$8,426.84",171,"$3,177.73",13,$322.23,4,$991.66,12,$483.35,6,$80.56,1,"$10,196.70",172
455 - CITY MARKET SATELITE,$0.00,0,,,"$62,970.84","1,346.00","$14,230.14",59,$115.74,1,"$3,093.51",13,$63.89,1,$0.00,0,$0.00,0,"$21,375.03",476,$0.00,0,$0.00,0,"$6,975.59",116,$0.00,0,$0.00,0,"$16,572.23",363,"$3,666.62",15,"$2,658.36",23,"$1,408.31",17,$805.58,10,$886.13,11,"$13,268.34",234
409 - CITY MARKET PLAZA PATRIA,$0.00,0,,,"$78,366.64","1,673.00","$5,949.07",25,$347.22,3,$475.92,2,$881.68,14,$224.07,1,$0.00,0,"$8,833.37",210,$115.74,1,$448.15,2,"$1,805.61",30,$199.07,1,$0.00,0,"$13,172.43",300,$733.32,3,$161.12,2,"$3,416.65",41,$725.01,9,$797.51,10,"$14,503.31",275
419 - CITY MARKET GOMEZ MORIN,$0.00,0,,,"$59,315.29","1,210.00","$8,804.63",37,$115.74,1,$951.84,4,"$1,213.90",19,$0.00,0,$0.00,0,"$9,908.34",211,$0.00,0,$224.07,1,"$5,591.31",93,$199.07,1,$0.00,0,"$10,532.06",231,$733.32,3,$0.00,0,"$5,749.97",69,$886.12,11,"$1,586.96",20,"$18,261.16",318
408 - CITY MARKET ANTEA,$0.00,0,,,"$76,062.48","1,389.00",$713.88,3,$0.00,0,$0.00,0,$63.89,1,$0.00,0,$0.00,0,"$10,083.35",210,$0.00,0,$0.00,0,"$4,032.49",67,$0.00,0,$0.00,0,"$11,070.12",217,$0.00,0,$797.52,10,"$2,333.33",28,"$1,450.01",18,"$1,288.91",16,"$15,046.94",248
414 - CITY MARKET SOLESTA,$0.00,0,,,"$23,066.67",519,"$7,155.17",30,$0.00,0,"$6,425.00",24,$255.56,4,$0.00,0,$0.00,0,"$30,950.02",695,$0.00,0,$0.00,0,"$1,625.08",27,$0.00,0,$0.00,0,"$9,033.72",194,"$2,444.41",10,"$1,127.82",14,$0.00,0,$402.79,5,$725.01,9,"$13,020.33",239
428 - CITY MARKET SAN MIGUEL DE ALLENDE,$0.00,0,,,"$40,566.66",846,"$11,564.98",49,$231.48,2,"$1,189.81",5,$428.06,7,$0.00,0,$0.00,0,"$4,041.70",95,$0.00,0,$0.00,0,"$1,444.50",24,$199.07,1,$0.00,0,"$4,354.10",97,"$2,664.42",11,"$9,344.50",108,$750.00,9,"$1,611.13",20,"$1,127.80",14,"$10,861.70",178
